,Unnamed: 0,jersey_num,pts,fga,fga3,fgm,fgm3,fta,ftm,ast,blk,stl,dreb,oreb,reb,pf,tf,tov,mins_played,grade_level,division,jersey_no,height_in,season_y,school,conference,height_ft,conference_id,player_id_y,position,team_code_y
21,21,14,15.0,16.0,9.0,5.0,1.0,6.0,4.0,1.0,2.0,2.0,4.0,1.0,5.0,3.0,0.0,1.0,28.0,1.0,1.0,14.0,9.0,2015.0,Duke,ACC,6.0,821.0,1711099.0,F,193.0
22,22,14,15.0,16.0,6.0,6.0,2.0,2.0,1.0,0.0,3.0,3.0,5.0,0.0,5.0,3.0,0.0,1.0,42.0,1.0,1.0,14.0,9.0,2015.0,Duke,ACC,6.0,821.0,1711099.0,F,193.0
23,23,14,15.0,16.0,6.0,7.0,1.0,1.0,0.0,3.0,1.0,1.0,2.0,3.0,5.0,1.0,0.0,2.0,34.0,1.0,1.0,14.0,9.0,2015.0,Duke,ACC,6.0,821.0,1711099.0,F,193.0
24,24,14,16.0,16.0,7.0,5.0,3.0,4.0,3.0,1.0,1.0,1.0,3.0,4.0,7.0,4.0,0.0,5.0,36.0,1.0,1.0,14.0,9.0,2015.0,Duke,ACC,6.0,821.0,1711099.0,F,193.0
25,25,14,16.0,14.0,5.0,5.0,2.0,5.0,4.0,2.0,0.0,2.0,3.0,3.0,6.0,0.0,0.0,1.0,40.0,1.0,1.0,14.0,9.0,2015.0,Duke,ACC,6.0,821.0,1711099.0,F,193.0
26,26,14,16.0,7.0,6.0,4.0,3.0,9.0,5.0,2.0,6.0,1.0,8.0,1.0,9.0,1.0,0.0,2.0,37.0,1.0,1.0,14.0,9.0,2015.0,Duke,ACC,6.0,821.0,1711099.0,F,193.0
27,27,14,16.0,11.0,6.0,6.0,3.0,2.0,1.0,1.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,2.0,34.0,1.0,1.0,14.0,9.0,2015.0,Duke,ACC,6.0,821.0,1711099.0,F,193.0
28,28,14,17.0,13.0,8.0,5.0,3.0,4.0,4.0,1.0,1.0,0.0,2.0,1.0,3.0,4.0,0.0,3.0,37.0,1.0,1.0,14.0,9.0,2015.0,Duke,ACC,6.0,821.0,1711099.0,F,193.0
29,29,14,17.0,13.0,5.0,5.0,2.0,6.0,5.0,3.0,4.0,3.0,5.0,0.0,5.0,2.0,0.0,1.0,39.0,1.0,1.0,14.0,9.0,2015.0,Duke,ACC,6.0,821.0,1711099.0,F,193.0
30,30,14,18.0,9.0,5.0,5.0,2.0,8.0,6.0,4.0,1.0,0.0,8.0,2.0,10.0,1.0,0.0,3.0,40.0,1.0,1.0,14.0,9.0,2015.0,Duke,ACC,6.0,821.0,1711099.0,F,193.0
31,31,14,19.0,13.0,3.0,8.0,1.0,2.0,2.0,2.0,0.0,1.0,7.0,3.0,10.0,2.0,0.0,4.0,39.0,1.0,1.0,14.0,9.0,2015.0,Duke,ACC,6.0,821.0,1711099.0,F,193.0
32,32,14,20.0,12.0,2.0,7.0,1.0,10.0,5.0,3.0,2.0,1.0,7.0,2.0,9.0,2.0,0.0,1.0,39.0,1.0,1.0,14.0,9.0,2015.0,Duke,ACC,6.0,821.0,1711099.0,F,193.0
33,33,14,20.0,21.0,5.0,7.0,2.0,4.0,4.0,4.0,2.0,1.0,6.0,4.0,10.0,2.0,0.0,1.0,40.0,1.0,1.0,14.0,9.0,2015.0,Duke,ACC,6.0,821.0,1711099.0,F,193.0
34,34,14,21.0,11.0,6.0,7.0,4.0,4.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,24.0,1.0,1.0,14.0,9.0,2015.0,Duke,ACC,6.0,821.0,1711099.0,F,193.0
35,35,14,22.0,14.0,7.0,7.0,5.0,5.0,3.0,4.0,1.0,0.0,6.0,1.0,7.0,0.0,0.0,0.0,40.0,1.0,1.0,14.0,9.0,2015.0,Duke,ACC,6.0,821.0,1711099.0,F,193.0
36,36,12,23.0,16.0,5.0,10.0,3.0,1.0,0.0,1.0,3.0,2.0,6.0,3.0,9.0,2.0,0.0,2.0,40.0,1.0,1.0,12.0,6.0,2014.0,Duke,ACC,6.0,821.0,1620696.0,F,193.0
37,37,12,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,10.0,1.0,1.0,12.0,6.0,2014.0,Duke,ACC,6.0,821.0,1620696.0,F,193.0
38,38,12,2.0,6.0,2.0,1.0,0.0,4.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,27.0,1.0,1.0,12.0,6.0,2014.0,Duke,ACC,6.0,821.0,1620696.0,F,193.0
39,39,12,3.0,3.0,2.0,1.0,0.0,4.0,1.0,1.0,0.0,1.0,6.0,1.0,7.0,3.0,0.0,3.0,38.0,1.0,1.0,12.0,6.0,2014.0,Duke,ACC,6.0,821.0,1620696.0,F,193.0
40,40,12,5.0,6.0,3.0,2.0,1.0,0.0,0.0,3.0,0.0,1.0,4.0,1.0,5.0,3.0,0.0,4.0,32.0,1.0,1.0,12.0,6.0,2014.0,Duke,ACC,6.0,821.0,1620696.0,F,193.0
41,41,12,6.0,4.0,2.0,2.0,1.0,2.0,1.0,7.0,1.0,0.0,11.0,0.0,11.0,2.0,0.0,2.0,24.0,1.0,1.0,12.0,6.0,2014.0,Duke,ACC,6.0,821.0,1620696.0,F,193.0
42,42,12,7.0,7.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0,22.0,1.0,1.0,12.0,6.0,2014.0,Duke,ACC,6.0,821.0,1620696.0,F,193.0
43,43,12,7.0,7.0,3.0,2.0,1.0,4.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,23.0,1.0,1.0,12.0,6.0,2014.0,Duke,ACC,6.0,821.0,1620696.0,F,193.0
44,44,12,7.0,4.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,2.0,12.0,1.0,1.0,12.0,6.0,2014.0,Duke,ACC,6.0,821.0,1620696.0,F,193.0
45,45,12,9.0,9.0,2.0,4.0,1.0,1.0,0.0,4.0,1.0,1.0,4.0,1.0,5.0,3.0,0.0,1.0,29.0,1.0,1.0,12.0,6.0,2014.0,Duke,ACC,6.0,821.0,1620696.0,F,193.0
46,46,12,10.0,6.0,3.0,1.0,1.0,10.0,7.0,1.0,1.0,2.0,4.0,1.0,5.0,5.0,0.0,4.0,32.0,1.0,1.0,12.0,6.0,2014.0,Duke,ACC,6.0,821.0,1620696.0,F,193.0
47,47,12,10.0,13.0,6.0,3.0,1.0,5.0,3.0,1.0,0.0,1.0,3.0,1.0,4.0,5.0,0.0,0.0,30.0,1.0,1.0,12.0,6.0,2014.0,Duke,ACC,6.0,821.0,1620696.0,F,193.0
48,48,12,11.0,9.0,2.0,3.0,1.0,7.0,4.0,1.0,3.0,1.0,9.0,0.0,9.0,4.0,0.0,2.0,32.0,1.0,1.0,12.0,6.0,2014.0,Duke,ACC,6.0,821.0,1620696.0,F,193.0
49,49,12,11.0,7.0,3.0,3.0,1.0,4.0,4.0,1.0,0.0,3.0,6.0,0.0,6.0,2.0,0.0,1.0,25.0,1.0,1.0,12.0,6.0,2014.0,Duke,ACC,6.0,821.0,1620696.0,F,193.0
50,50,12,11.0,8.0,0.0,5.0,0.0,1.0,1.0,3.0,1.0,1.0,8.0,3.0,11.0,3.0,0.0,3.0,30.0,1.0,1.0,12.0,6.0,2014.0,Duke,ACC,6.0,821.0,1620696.0,F,193.0
51,51,12,12.0,10.0,3.0,4.0,1.0,4.0,3.0,2.0,1.0,1.0,3.0,2.0,5.0,3.0,0.0,2.0,28.0,1.0,1.0,12.0,6.0,2014.0,Duke,ACC,6.0,821.0,1620696.0,F,193.0
52,52,12,12.0,10.0,2.0,4.0,1.0,3.0,3.0,3.0,1.0,0.0,6.0,1.0,7.0,5.0,0.0,2.0,29.0,1.0,1.0,12.0,6.0,2014.0,Duke,ACC,6.0,821.0,1620696.0,F,193.0
53,53,12,12.0,10.0,4.0,5.0,1.0,4.0,1.0,0.0,0.0,2.0,3.0,0.0,3.0,4.0,0.0,2.0,27.0,1.0,1.0,12.0,6.0,2014.0,Duke,ACC,6.0,821.0,1620696.0,F,193.0
54,54,12,13.0,7.0,4.0,4.0,3.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,4.0,0.0,2.0,30.0,1.0,1.0,12.0,6.0,2014.0,Duke,ACC,6.0,821.0,1620696.0,F,193.0
